qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
115,23,4,4,5,7,01:16.6,01:15.8,01:16.9
116,23,15,7,11,8,01:16.3,01:15.6,01:17.2
117,23,17,9,10,9,01:16.1,01:15.7,01:17.3
118,23,14,9,9,10,01:16.1,01:15.8,\N
119,23,10,7,12,11,01:16.3,01:15.9,\N
120,23,18,11,16,12,01:16.3,01:16.1,\N
121,23,2,2,3,13,01:16.6,01:16.5,\N
122,23,6,3,8,14,01:16.8,01:16.5,\N
123,23,22,11,17,15,01:16.2,01:16.5,\N
124,23,7,5,14,16,01:16.8,\N,\N
125,23,12,4,6,17,01:16.9,\N,\N
126,23,20,5,15,18,01:17.0,\N,\N
127,23,16,10,20,19,01:17.2,\N,\N
128,23,21,10,21,20,01:17.8,\N,\N
129,24,1,1,22,1,01:16.9,01:17.0,01:17.9
130,24,9,2,4,2,01:17.5,01:17.7,01:18.5
131,24,8,6,1,3,01:17.3,01:17.4,01:18.7
132,24,4,4,5,4,01:17.4,01:17.5,01:18.7
133,24,3,3,7,5,01:18.0,01:17.9,01:18.8
134,24,13,6,2,6,01:17.2,01:17.4,01:19.0
135,24,5,1,23,7,01:17.3,01:17.7,01:19.1
136,24,2,2,3,8,01:18.1,01:17.8,01:19.6
137,24,22,11,17,9,01:18.3,01:18.0,01:20.8
138,24,17,9,10,10,01:17.6,01:17.5,\N
139,24,10,7,12,11,01:18.3,01:18.0,\N
140,24,6,3,8,12,01:17.6,01:18.1,\N
141,24,14,9,9,13,01:18.2,01:18.2,\N
142,24,15,7,11,14,01:18.0,01:18.3,\N
143,24,12,4,6,15,01:18.5,01:18.4,\N
144,24,7,5,14,16,01:18.9,\N,\N
145,24,16,10,20,17,01:19.1,\N,\N
146,24,21,10,21,18,01:19.2,\N,\N
147,24,18,11,16,19,01:23.6,\N,\N
148,24,20,5,15,20,\N,\N,\N
149,25,8,6,1,1,01:15.1,01:15.2,01:16.4
150,25,13,6,2,2,01:15.0,01:15.0,01:16.5
151,25,1,1,22,3,01:15.6,01:15.3,01:16.7
152,25,4,4,5,4,01:15.8,01:15.5,01:16.8
153,25,15,7,11,5,01:15.5,01:15.4,01:16.9
154,25,5,1,23,6,01:16.0,01:15.6,01:16.9
155,25,9,2,4,7,01:15.7,01:15.7,01:17.0
156,25,17,9,10,8,01:16.0,01:15.5,01:17.2
157,25,14,9,9,9,01:15.8,01:15.7,01:17.4
158,25,10,7,12,10,01:15.7,01:15.6,01:17.6
159,25,12,4,6,11,01:15.8,01:15.8,\N
160,25,2,2,3,12,01:16.0,01:15.8,\N
161,25,20,5,15,13,01:15.9,01:15.8,\N
162,25,7,5,14,14,01:16.1,01:16.0,\N
163,25,3,3,7,15,01:16.1,01:16.2,\N
164,25,6,3,8,16,01:16.2,\N,\N
165,25,18,11,16,17,01:16.3,\N,\N
166,25,22,11,17,18,01:16.3,\N,\N
167,25,21,10,21,19,01:17.0,\N,\N
168,25,16,10,20,20,01:17.1,\N,\N
169,26,5,1,23,1,01:20.0,01:19.6,01:21.0
170,26,17,9,10,2,01:21.0,01:19.7,01:21.6
171,26,8,6,1,3,01:20.4,01:20.0,01:21.7
172,26,1,1,22,4,01:20.3,01:19.5,01:21.8
173,26,2,2,3,5,01:21.0,01:19.8,01:21.9
174,26,4,4,5,6,01:21.0,01:20.0,01:22.0
175,26,12,4,6,7,01:20.8,01:20.1,01:22.5
176,26,20,5,15,8,01:20.3,01:20.1,01:23.3
177,26,13,6,2,9,01:20.7,01:20.1,01:23.3
178,26,9,2,4,10,01:20.4,01:19.8,\N
179,26,14,9,9,11,01:21.2,01:20.2,\N
180,26,10,7,12,12,01:20.9,01:20.3,\N
181,26,7,5,14,13,01:20.6,01:20.5,\N
182,26,15,7,11,14,01:21.1,01:20.6,\N
183,26,6,3,8,15,01:21.4,01:21.1,\N
184,26,22,11,17,16,01:21.5,\N,\N
185,26,18,11,16,17,01:21.6,\N,\N
186,26,3,3,7,18,01:21.7,\N,\N
187,26,16,10,20,19,01:21.8,\N,\N
188,26,21,10,21,20,01:21.9,\N,\N
189,27,1,1,22,1,01:15.2,01:14.6,01:15.7
190,27,13,6,2,2,01:14.9,01:14.7,01:15.9
191,27,5,1,23,3,01:15.5,01:14.9,01:16.1
192,27,15,7,11,4,01:15.6,01:15.1,01:16.2
193,27,4,4,5,5,01:15.9,01:14.9,01:16.4
194,27,8,6,1,6,01:15.2,01:14.9,01:16.4
195,27,9,2,4,7,01:16.0,01:15.1,01:16.5
196,27,17,9,10,8,01:15.9,01:15.5,01:17.0
197,27,20,5,15,9,01:15.5,01:15.4,01:17.2
198,27,14,9,9,10,01:16.0,01:15.3,01:17.5
199,27,10,7,12,11,01:15.6,01:15.5,\N
200,27,2,2,3,12,01:15.6,01:15.6,\N
201,27,3,3,7,13,01:15.9,01:15.6,\N
202,27,18,11,16,14,01:16.0,01:15.7,\N
203,27,7,5,14,15,01:15.9,01:15.9,\N
204,27,6,3,8,16,01:16.1,\N,\N
205,27,12,4,6,17,01:16.2,\N,\N
206,27,22,11,17,18,01:16.2,\N,\N
207,27,16,10,20,19,01:16.7,\N,\N
208,27,21,10,21,20,01:17.0,\N,\N
209,28,1,1,22,1,01:19.4,01:19.5,01:20.9
210,28,5,1,23,2,01:19.9,01:19.5,01:21.1
211,28,13,6,2,3,01:19.6,01:19.1,01:21.2
212,28,9,2,4,4,01:20.1,01:19.8,01:21.3
213,28,10,7,12,5,01:20.0,01:19.2,01:21.3
214,28,8,6,1,6,01:20.0,01:19.5,01:21.5
215,28,4,4,5,7,01:20.2,01:19.8,01:21.7
216,28,17,9,10,8,01:20.1,01:20.0,01:21.7
217,28,15,7,11,9,01:19.9,01:19.5,01:21.8
218,28,12,4,6,10,01:20.6,01:20.1,01:22.4
219,28,20,5,15,11,01:20.2,01:20.1,\N
220,28,18,11,16,12,01:20.9,01:20.3,\N
221,28,14,9,9,13,01:20.5,01:20.5,\N
222,28,7,5,14,14,01:20.6,01:21.0,\N
223,28,3,3,7,15,01:20.7,\N,\N
224,28,2,2,3,16,01:21.0,\N,\N
225,28,6,3,8,17,01:21.1,\N,\N
226,28,22,11,17,18,01:21.3,\N,\N
227,28,21,10,21,19,01:21.7,\N,\N
228,28,16,10,20,20,01:22.1,\N,\N
229,29,13,6,2,1,01:38.2,01:37.9,01:39.0
230,29,1,1,22,2,01:38.5,01:38.0,01:39.2
231,29,9,2,4,3,01:38.3,01:38.1,01:39.4
232,29,8,6,1,4,01:38.7,01:38.2,01:39.5
233,29,5,1,23,5,01:38.7,01:38.1,01:39.9
234,29,20,5,15,6,01:38.1,01:37.8,01:40.1
235,29,15,7,11,7,01:37.9,01:37.9,01:40.3
236,29,2,2,3,8,01:38.7,01:37.9,01:40.6
237,29,3,3,7,9,01:38.6,01:38.3,01:40.7
238,29,7,5,14,10,01:38.6,01:38.4,01:40.8
239,29,6,3,8,11,01:38.7,01:38.4,\N
240,29,4,4,5,12,01:38.3,01:38.4,\N
241,29,10,7,12,13,01:38.5,01:38.5,\N
242,29,17,9,10,14,01:38.6,01:38.5,\N
243,29,12,4,6,15,01:38.8,01:38.7,\N
244,29,18,11,16,16,01:38.9,\N,\N
245,29,14,9,9,17,01:39.2,\N,\N
246,29,21,10,21,18,01:39.3,\N,\N
247,29,22,11,17,19,01:39.8,\N,\N
248,29,16,10,20,20,01:39.9,\N,\N
249,30,1,1,22,1,01:46.9,01:46.1,01:47.3
250,30,13,6,2,2,01:46.9,01:46.4,01:47.7
251,30,5,1,23,3,01:46.8,01:46.0,01:47.8
252,30,8,6,1,4,01:47.0,01:46.3,01:48.0
253,30,2,2,3,5,01:47.4,01:46.3,01:48.3
254,30,4,4,5,6,01:47.2,01:46.5,01:48.5
255,30,17,9,10,7,01:47.3,01:46.8,01:48.7
256,30,9,2,4,8,01:47.1,01:46.5,01:48.8
257,30,7,5,14,9,01:46.8,01:46.5,01:49.0
258,30,20,5,15,10,01:47.2,01:46.8,01:50.3
259,30,15,7,11,11,01:47.4,01:46.9,\N
260,30,12,4,6,12,01:47.1,01:47.0,\N
261,30,10,7,12,13,01:47.4,01:47.0,\N
262,30,14,9,9,14,01:47.1,01:47.0,\N
263,30,3,3,7,15,01:47.5,01:47.4,\N
264,30,22,11,17,16,01:48.2,\N,\N
265,30,18,11,16,17,01:48.2,\N,\N
266,30,16,10,20,18,01:48.2,\N,\N
267,30,6,3,8,19,01:48.3,\N,\N
268,30,21,10,21,20,01:48.4,\N,\N
269,31,20,5,15,1,01:35.5,01:35.8,01:37.6
270,31,5,1,23,2,01:35.2,01:35.8,01:37.6
271,31,17,9,10,3,01:36.0,01:36.3,01:38.1
272,31,7,5,14,4,01:35.5,01:36.2,01:38.4
273,31,3,3,7,5,01:35.5,01:35.9,01:38.8
274,31,13,6,2,6,01:35.5,01:36.7,01:38.9
275,31,15,7,11,7,01:35.9,01:36.0,01:39.2
276,31,4,4,5,8,01:36.3,01:36.5,01:39.8
277,31,10,7,12,9,01:35.7,01:36.5,01:39.8
278,31,2,2,3,10,01:35.7,01:36.6,01:39.9
279,31,9,2,4,11,01:35.6,01:36.7,\N
280,31,21,10,21,12,01:36.3,01:36.7,\N
281,31,14,9,9,13,01:36.5,01:37.3,\N
282,31,8,6,1,14,01:36.0,01:37.5,\N
283,31,1,1,22,15,01:35.4,01:39.3,\N
284,31,22,11,17,16,01:36.5,\N,\N
285,31,12,4,6,17,01:36.6,\N,\N
286,31,6,3,8,18,01:36.7,\N,\N
287,31,18,11,16,19,01:37.0,\N,\N
288,31,16,10,20,20,01:37.4,\N,\N
289,32,13,6,2,1,01:44.5,01:44.0,01:44.8
290,32,1,1,22,2,01:44.5,01:44.9,01:45.5
291,32,8,6,1,3,01:44.3,01:44.2,01:45.6
292,32,9,2,4,4,01:44.7,01:44.5,01:45.8
293,32,5,1,23,5,01:44.3,01:44.2,01:45.9
294,32,2,2,3,6,01:45.5,01:44.5,01:46.0
295,32,20,5,15,7,01:45.0,01:44.3,01:46.2
296,32,10,7,12,8,01:45.2,01:44.4,01:46.3
297,32,3,3,7,9,01:45.1,01:44.4,01:46.6
298,32,6,3,8,10,01:45.1,01:44.8,01:47.5
299,32,15,7,11,11,01:45.6,01:45.0,\N
300,32,18,11,16,12,01:45.7,01:45.1,\N
301,32,17,9,10,13,01:45.5,01:45.2,\N
302,32,14,9,9,14,01:46.0,01:45.3,\N
303,32,4,4,5,15,01:45.0,\N,\N
304,32,12,4,6,16,01:46.0,\N,\N
305,32,7,5,14,17,01:46.4,\N,\N
306,32,22,11,17,18,01:46.6,\N,\N
307,32,16,10,20,19,01:47.9,\N,\N
308,32,21,10,21,20,\N,\N,\N
309,33,1,1,22,1,01:18.1,01:17.5,01:18.4
310,33,8,6,1,2,01:18.2,01:17.7,01:18.6
311,33,5,1,23,3,01:18.2,01:17.4,01:18.8
312,33,4,4,5,4,01:18.3,01:17.9,01:18.9
313,33,13,6,2,5,01:18.1,01:17.3,01:18.9
314,33,9,2,4,6,01:18.7,01:17.9,01:19.0
315,33,15,7,11,7,01:18.5,01:17.5,01:19.0
316,33,10,7,12,8,01:17.9,01:17.7,01:19.1
317,33,20,5,15,9,01:18.6,01:17.7,01:19.6
318,33,7,5,14,10,01:18.6,01:18.1,01:20.2
319,33,14,9,9,11,01:18.3,01:18.2,\N
320,33,12,4,6,12,01:18.3,01:18.3,\N
321,33,17,9,10,13,01:18.4,01:18.4,\N
322,33,6,3,8,14,01:18.6,01:18.6,\N
323,33,3,3,7,15,01:18.7,01:18.7,\N
324,33,2,2,3,16,01:18.8,\N,\N
325,33,22,11,17,17,01:18.9,\N,\N
326,33,18,11,16,18,01:19.1,\N,\N
327,33,16,10,20,19,01:19.2,\N,\N
328,33,21,10,21,20,01:19.9,\N,\N
329,34,1,1,22,1,01:35.6,01:34.9,01:36.3
330,34,8,6,1,2,01:36.0,01:35.4,01:36.6
331,34,13,6,2,3,01:36.0,01:35.1,01:36.9
332,34,4,4,5,4,01:35.8,01:35.5,01:36.9
333,34,5,1,23,5,01:35.6,01:35.2,01:36.9
334,34,17,9,10,6,01:36.2,01:35.7,01:37.1
335,34,2,2,3,7,01:36.2,01:35.4,01:37.2
336,34,20,5,15,8,01:35.8,01:35.4,01:37.7
337,34,15,7,11,9,01:36.1,01:35.7,01:37.9
338,34,7,5,14,10,01:36.2,01:35.5,01:38.9
339,34,12,4,6,11,01:36.0,01:35.7,\N
340,34,9,2,4,12,01:36.5,01:35.8,\N
341,34,10,7,12,13,01:36.2,01:35.9,\N
342,34,22,11,17,14,01:36.6,01:36.1,\N
343,34,3,3,7,15,01:36.4,01:36.2,\N
344,34,14,9,9,16,01:36.7,\N,\N
345,34,6,3,8,17,01:36.9,\N,\N
346,34,18,11,16,18,01:37.1,\N,\N
347,34,16,10,20,19,01:37.7,\N,\N
348,34,21,10,21,20,01:37.7,\N,\N
349,35,13,6,2,1,01:11.8,01:11.9,01:12.4
350,35,15,7,11,2,01:12.2,01:12.1,01:12.7
351,35,8,6,1,3,01:12.1,01:11.9,01:12.8
352,35,1,1,22,4,01:12.2,01:11.9,01:12.8
353,35,5,1,23,5,01:12.4,01:11.8,01:12.9
354,35,4,4,5,6,01:12.2,01:12.1,01:13.0
355,35,20,5,15,7,01:12.4,01:11.8,01:13.1
356,35,2,2,3,8,01:12.4,01:12.0,01:13.3
357,35,7,5,14,9,01:12.5,01:12.1,01:14.1
358,35,10,7,12,10,01:12.2,01:11.9,01:14.2
359,35,12,4,6,11,01:12.3,01:12.1,\N
360,35,17,9,10,12,01:12.4,01:12.3,\N
361,35,9,2,4,13,01:12.4,01:12.3,\N
362,35,14,9,9,14,01:12.7,01:12.7,\N
363,35,22,11,17,15,01:12.5,01:13.1,\N
364,35,6,3,8,16,01:12.8,\N,\N
365,35,18,11,16,17,01:12.8,\N,\N
366,35,3,3,7,18,01:13.0,\N,\N
367,35,21,10,21,19,01:13.4,\N,\N
368,35,16,10,20,20,01:13.5,\N,\N
369,36,8,6,6,1,01:26.6,01:25.6,01:26.1
370,36,4,1,1,2,01:26.7,01:25.3,01:26.5
371,36,2,2,9,3,01:26.9,01:25.4,01:26.6
372,36,1,1,2,4,01:26.7,01:25.6,01:26.8
373,36,9,2,10,5,01:26.7,01:25.9,01:27.3
374,36,21,4,3,6,01:27.3,01:25.9,01:27.6
375,36,17,9,15,7,01:27.0,01:26.6,01:27.9
376,36,15,7,12,8,01:27.0,01:26.7,01:28.4
377,36,23,7,11,9,01:27.3,01:26.7,01:28.7
378,36,11,8,22,10,01:27.4,01:26.8,01:28.9
379,36,19,8,23,11,01:27.0,01:26.9,\N
380,36,3,3,16,12,01:27.6,01:26.9,\N
381,36,5,4,4,13,01:27.5,01:27.0,\N
382,36,18,11,7,14,01:27.5,01:27.3,\N
383,36,25,3,17,15,01:27.5,01:27.4,\N
384,36,13,6,5,16,01:26.7,\N,\N
385,36,22,11,8,17,01:27.7,\N,\N
386,36,26,5,19,18,01:28.3,\N,\N
387,36,14,9,14,19,01:28.6,\N,\N
388,36,24,5,18,20,01:29.3,\N,\N
389,36,16,12,20,21,01:29.3,\N,\N
390,36,27,12,21,22,01:31.9,\N,\N
391,37,13,6,5,1,01:35.3,01:34.5,01:35.0
392,37,4,1,1,2,01:34.9,01:34.1,01:35.3
393,37,8,6,6,3,01:35.1,01:34.7,01:35.5
394,37,1,1,2,4,01:35.0,01:34.7,01:36.0
395,37,2,2,9,5,01:35.6,01:35.2,01:36.5
396,37,3,3,16,6,01:35.8,01:35.4,01:36.8
397,37,9,2,10,7,01:35.3,01:34.7,01:36.8
398,37,15,7,12,8,01:35.7,01:35.3,01:36.9
399,37,23,7,11,9,01:35.7,01:35.6,01:37.1
400,37,17,9,15,10,01:35.7,01:35.6,01:37.3
401,37,5,4,4,11,01:36.1,01:35.6,\N
402,37,21,4,3,12,01:35.9,01:35.7,\N
403,37,14,9,14,13,01:35.7,01:35.8,\N
404,37,11,8,22,14,01:36.4,01:35.9,\N
405,37,18,11,7,15,01:35.9,01:36.1,\N
406,37,24,5,18,16,01:36.1,01:36.1,\N
407,37,26,5,19,17,01:36.6,\N,\N
408,37,19,8,23,18,01:36.8,\N,\N
409,37,22,11,8,19,01:36.8,\N,\N
410,37,25,3,17,20,01:37.3,\N,\N
411,37,27,12,21,21,01:38.3,\N,\N
412,37,16,12,20,22,01:38.4,\N,\N
413,38,13,6,5,1,01:32.4,01:31.4,01:32.7
414,38,1,1,2,2,01:32.6,01:31.8,01:32.9
415,38,8,6,6,3,01:33.2,01:31.8,01:33.1
416,38,4,1,1,4,01:33.0,01:32.2,01:33.2
417,38,2,2,9,5,01:33.2,01:32.2,01:33.4
418,38,9,2,10,6,01:33.3,01:32.3,01:33.7
419,38,21,4,3,7,01:33.6,01:32.9,01:34.1
420,38,17,9,15,8,01:33.5,01:32.8,01:34.1
421,38,15,7,12,9,01:33.2,01:32.4,01:34.2
422,38,3,3,16,10,01:33.3,01:32.8,01:34.4
423,38,25,3,17,11,01:33.8,01:32.9,\N
424,38,5,4,4,12,01:33.5,01:32.9,\N
425,38,19,8,23,13,01:33.3,01:33.1,\N
426,38,23,7,11,14,01:33.9,01:33.3,\N
427,38,22,11,8,15,01:33.8,01:33.6,\N
428,38,18,11,7,16,01:34.0,01:33.7,\N
429,38,11,8,22,17,01:34.0,\N,\N
430,38,24,5,18,18,01:34.0,\N,\N
431,38,26,5,19,19,01:34.3,\N,\N
432,38,16,12,20,20,01:35.3,\N,\N
433,38,14,9,14,21,01:35.3,\N,\N
434,38,27,12,12,22,01:35.5,\N,\N
435,39,13,6,5,1,01:21.4,01:20.6,01:21.4
436,39,4,1,1,2,01:21.6,01:20.8,01:21.5
437,39,8,6,6,3,01:21.8,01:20.7,01:21.7
438,39,1,1,2,4,01:21.1,01:20.7,01:21.8
439,39,9,2,10,5,01:21.9,01:21.4,01:22.3
440,39,15,7,12,6,01:22.5,01:21.6,01:22.3
441,39,2,2,9,7,01:21.6,01:21.1,01:22.4
442,39,5,4,4,8,01:21.8,01:21.6,01:22.6
443,39,14,9,14,9,01:22.5,01:21.5,01:22.7
444,39,21,4,3,10,01:22.1,01:21.7,01:22.9
445,39,3,3,16,11,01:21.9,01:22.0,\N
446,39,22,11,8,12,01:22.5,01:22.1,\N
447,39,11,8,22,13,01:22.1,01:22.1,\N
448,39,18,11,7,14,01:22.5,01:22.1,\N
449,39,19,8,23,15,01:22.3,\N,\N
450,39,24,5,18,16,01:22.5,\N,\N
451,39,23,7,11,17,01:22.7,\N,\N
452,39,25,3,17,18,01:22.8,\N,\N
453,39,17,9,15,19,01:23.4,\N,\N
454,39,16,12,20,20,01:23.8,\N,\N
455,39,27,12,21,21,01:24.0,\N,\N
456,39,26,5,19,22,\N,\N,\N
457,40,4,1,1,1,01:16.1,01:15.4,01:15.7
458,40,1,1,2,2,01:15.7,01:15.5,01:15.9
459,40,13,6,5,3,01:16.8,01:16.0,01:16.0
460,40,21,4,3,4,01:17.6,01:16.1,01:16.3
461,40,3,3,16,5,01:16.9,01:16.1,01:16.4
462,40,17,9,15,6,01:17.8,01:16.4,01:16.8
463,40,2,2,9,7,01:17.4,01:15.7,01:16.8
464,40,9,2,10,8,01:17.6,01:15.6,01:17.0
465,40,22,11,8,9,01:17.2,01:16.5,01:17.5
466,40,18,11,7,10,01:17.3,01:16.5,01:17.9
467,40,25,3,17,11,01:17.9,01:16.7,\N
468,40,24,5,18,12,01:16.7,01:16.7,\N
469,40,14,9,14,13,01:17.2,01:16.3,\N
470,40,15,7,12,14,01:17.7,01:17.0,\N
471,40,5,4,4,15,01:17.8,01:17.1,\N
472,40,8,6,6,16,01:16.3,\N,\N
473,40,19,8,23,17,01:18.3,\N,\N
474,40,26,5,19,18,01:18.4,\N,\N
475,40,16,12,20,19,01:18.4,\N,\N
476,40,23,7,11,20,01:18.5,\N,\N
477,40,11,8,22,21,01:18.6,\N,\N
478,40,27,12,21,22,\N,\N,\N
479,41,1,1,2,1,01:16.6,01:15.5,01:15.7
480,41,4,1,1,2,01:16.6,01:15.5,01:16.2
481,41,2,2,9,3,01:17.0,01:16.0,01:16.3
482,41,8,6,6,4,01:16.5,01:16.6,01:16.4
483,41,13,6,5,5,01:16.8,01:16.1,01:16.6
484,41,17,9,15,6,01:17.3,01:16.3,01:16.9
485,41,3,3,16,7,01:17.0,01:16.2,01:16.9
486,41,9,2,10,8,01:17.3,01:16.4,01:17.0
487,41,21,4,3,9,01:16.8,01:16.3,01:17.2
488,41,15,7,12,10,01:17.3,01:16.6,01:17.7
489,41,11,8,22,11,01:17.5,01:16.7,\N
490,41,24,5,18,12,01:17.5,01:16.8,\N
491,41,22,11,8,13,01:17.0,01:17.1,\N
492,41,14,9,14,14,01:17.4,01:17.3,\N
493,41,18,11,7,15,01:17.5,01:17.5,\N
494,41,26,5,19,16,01:17.4,01:17.6,\N
495,41,19,8,23,17,01:17.5,\N,\N
496,41,23,7,11,18,01:17.6,\N,\N
497,41,25,3,17,19,01:18.1,\N,\N
498,41,16,12,20,20,01:18.5,\N,\N
499,41,27,12,21,21,01:19.2,\N,\N
500,41,5,4,4,22,01:17.8,\N,\N
501,42,1,1,2,1,01:12.6,01:12.1,01:12.3
502,42,4,1,1,2,01:12.4,01:11.9,01:12.5
503,42,13,6,5,3,01:12.7,01:12.2,01:12.7
504,42,8,6,6,4,01:12.7,01:12.1,01:12.8
505,42,2,2,9,5,01:12.5,01:12.2,01:12.8
